Level,IdRoot,ParentId,Ten,Ma
1,44,NULL,Quảng Bình,44
3,10930,295,Tân Trường,10930
3,16336,404,Trường Giang,16336
2,356,36,Nam Định,356
3,17440,425,Diễn Thái,17440
2,661,67,Đăk Glong,661
2,138,15,Trấn Yên,138
3,28933,838,Tân Bình,28933
3,25090,680,Lộc Thành,25090
3,9385,261,Đồng Nguyên,9385
3,24202,645,Ea Khal,24202
3,22030,555,4,22030
3,10486,282,Đốc Tín,10486
3,8185,232,Vũ Yển,8185
3,25363,695,Tân Phú,25363
3,9085,252,Chấn Hưng,9085
3,2437,75,Kiến Thiết,2437
3,15550,395,Xuân Phú,15550
3,28072,804,Tân Lập,28072
3,19456,465,Tân Thành,19456
3,16885,418,Hữu Khuông,16885
3,9055,251,Yên Phương,9055
3,12685,339,Hồng Minh,12685
3,4444,136,Hoàng Thắng,4444
3,24406,651,Cư Bông,24406
3,27145,770,Phường 10,27145
3,18622,445,Thạch Lạc,18622
3,14797,380,Đông Hải,14797
3,20053,481,Hồng Kim,20053
3,10828,294,Cẩm Chế,10828
3,18008,431,Hưng Yên Bắc,18008
2,568,56,Nha Trang,568
3,31408,934,Long Thạnh,31408
3,20236,492,Hải Châu  I,20236
3,5617,168,Yên Trạch,5617
3,23629,623,Cửu An,23629
3,14086,363,Trực Thắng,14086
4,9696969696,27142,Lý Chính Thắng,P9-7
2,505,49,Đông Giang,505
3,3697,118,Pá Ma Pha Khinh,3697
3,17962,430,Hùng Tiến,17962
3,4663,140,Phù Nham,4663
3,28264,815,2,28264
3,1462,46,Xuân Nội,1462
3,30877,904,Thạnh Trị,30877
3,29464,849,Phước Hưng,29464
3,20548,506,Đại Hòa,20548
3,8485,236,Hồng Đà,8485
2,601,60,Hàm Tân,601
3,19123,455,Hạ Trạch,19123
3,1930,61,Hoàng Trĩ,1930
3,30208,876,Lai Vung,30208
3,6034,180,Chi Lăng,6034
3,9628,271,Cổ Đô,9628
3,29221,837,Thạnh Hải,29221
3,24112,637,Chư Rcăm,24112
3,14884,385,Phú Lệ,14884
3,21064,524,Bình An,21064
3,20560,507,Điện Thắng Bắc,20560
3,27127,770,Phường 14,27127
3,3928,122,Huy Hạ,3928
3,7657,220,An Châu,7657
3,7936,227,Sông Lô,7936
3,5665,169,Văn Lăng,5665
2,456,44,Quảng Ninh,456
3,25093,680,Lộc Nam,25093
3,28216,808,Hòa Phú,28216
3,24343,650,Krông Năng,24343
3,2977,87,Minh Tân,2977
3,25576,707,Bến Củi,25576
3,14341,369,Nam Thành,14341
3,4276,132,Tuy Lộc,4276
3,7876,223,Hương Lâm,7876
3,30478,889,Vĩnh Thạnh Trung,30478
1,38,NULL,Thanh Hóa,38
3,1219,34,Đông Thành,1219
3,30154,874,Tân Bình,30154
3,13126,343,Vũ Ninh,13126
3,5929,173,Bảo Lý,5929
3,10885,294,Vĩnh Lập,10885
3,23425,617,Đắk Hà,23425
3,5110,154,Tây Phong,5110
3,26155,734,Phú Lâm,26155
3,25081,680,Lộc Đức,25081
3,3166,103,Chà Cang,3166
3,21007,517,Tam Trà,21007
3,27520,783,Trung Lập Hạ,27520
3,1339,43,Xuân Trường,1339
3,23911,632,Ia Boòng,23911
3,16990,419,Nghĩa Thắng,16990
3,6661,193,Giếng Đáy,6661
3,5611,168,Đu,5611
3,7420,217,Mỹ Thái,7420
3,23237,594,Bình Tân,23237
3,15637,396,Luận Khê,15637
3,6538,188,Xuân Lễ,6538
3,6877,199,Đông Ngũ,6877
3,19873,477,Quảng Ngạn,19873
3,15172,390,Cẩm Long,15172
3,214,6,Quang Trung,214
3,9556,268,Hà Cầu,9556
3,7624,220,Hữu Sản,7624
3,8155,232,Thanh Vân,8155
3,6559,188,Tam Gia,6559
3,9589,269,Xuân Khanh,9589
3,31212,923,Thuận An,31212
3,17851,429,Nghi Quang,17851
3,2077,64,Yên Mỹ,2077
3,21424,533,Đức Hòa,21424
3,23893,632,Ia Drăng,23893
3,31198,919,Thường Thạnh,31198
3,32174,970,Tân Dân,32174
3,28864,831,Sơn Hòa,28864
3,6253,184,Văn Quan,6253
3,589,18,Văn Đức,589
3,14788,380,Tân Sơn,14788
3,28330,818,Thạnh Mỹ,28330
3,7669,220,Bồng Am,7669
3,19780,474,Đúc,19780
3,2341,73,Kiên Đài,2341
3,30409,888,Chợ Vàm,30409
3,8683,239,Đoan Hạ,8683
3,2416,74,Bằng Cốc,2416
3,25285,692,Lộc Thiện,25285
3,12967,341,Thái Thọ,12967
3,14890,385,Phú Xuân,14890
3,13966,362,Nam Giang,13966
3,23056,596,Hồng Phong,23056
3,10903,295,Ngọc Liên,10903
3,3958,122,Tường Hạ,3958
3,24715,664,Nâm N'Đir,24715
3,11764,315,Tự Cường,11764
3,15259,391,Thành Long,15259
3,31726,947,Gia Hòa 2,31726
3,16930,418,Yên Thắng,16930
3,18151,439,Sơn Thịnh,18151
3,11812,315,Tây Hưng,11812
3,13291,347,Lê Hồng Phong,13291
3,11692,309,Hải Thành,11692
3,30925,906,Ngọc Thành,30925
3,22918,593,Hàm Tiến,22918
3,24754,666,Kiến Thành,24754
3,27151,770,Phường 5,27151
3,15157,390,Cẩm Sơn,15157
3,21328,529,Sơn Ba,21328
3,6592,188,Đông Quan,6592
3,2704,82,Cốc Mỳ,2704
3,19147,455,Thượng Trạch,19147
3,3838,120,Chiềng Công,3838
3,5734,170,Phú Thượng,5734
3,22378,568,Phước Long,22378
3,16189,402,Xuân Quỳ,16189
3,31396,934,Cây Dương,31396
3,7708,221,Nội Hoàng,7708
3,12934,341,Thái Phúc,12934
3,14203,365,Giao Hải,14203
3,9685,271,Thụy An,9685
3,18790,447,Kỳ Thọ,18790
3,3067,89,Nậm Mả,3067
3,11263,300,Đoàn Kết,11263
3,5563,167,Tân Dương,5563
3,31741,948,Tân Long,31741
4,9696969696,27139,Nguyễn Đình Chiểu,P6-1
3,21646,543,Hoài Châu Bắc,21646
3,3144,94,Tà Lèng,3144
3,31594,942,An Hiệp,31594
3,18508,444,Hòa Hải,18508
3,21523,535,Ba Tô,21523
3,4129,125,Chiềng Chung,4129
3,394,16,Tân Hưng,394
3,10063,277,Lam Điền,10063
3,17620,427,Giang Sơn Tây,17620
3,17389,425,Diễn Châu,17389
3,133,4,Ngọc Lâm,133
3,23978,639,Ia Hla,23978
3,10375,281,Liên Bạt,10375
3,8815,246,Tử Du,8815
3,8422,235,Yên Dưỡng,8422
3,22075,557,Xuân Thọ 1,22075
3,22786,584,Phước Hòa,22786
3,28876,832,Sơn Định,28876
3,2734,82,Quang Kim,2734
3,25320,690,Hưng Chiến,25320
